Orden categoría,Código,Producto,Categoría principal,Subcategoría,Naturaleza,Revisión manual,Observación,Cantidad,UM,Base imponible,Impuesto,Total,Fila origen
1,2721120S,Gatos Castrados-Weight Control 1 Kg SUELTO,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,1,Bolsa,16550.00,0.00,16550.00,140
1,2721015,"Gatos Castrados-Weight Control 1,5 Kg",Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,2,Bolsa,66405.00,0.00,66405.00,141
1,2721120SS,Gatos Castrados-Weight Control 500 Gr Kg SUELTO,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,18,Bolsa,139815.00,0.00,139815.00,142
1,3613015,Indoor,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,3,Bolsa,99657.00,0.00,99657.00,151
1,3623015,"Indoor longhair 1,5 Kg",Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,1,"1,5 Kg",20790.00,0.00,20790.00,152
1,2522015,"Kitten 1,5Kg",Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,3,Bolsa,105412.50,0.00,105412.50,159
1,2631030,Medium Adult 3Kg,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,2,Bolsa,77692.00,0.00,77692.00,170
1,60011237,Medium Adult 7+ 3 Kg,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,2,Bolsa,82121.50,0.00,82121.50,171
1,3003030,Medium Puppy 3Kg,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,1,Bolsa,39836.00,0.00,39836.00,174
1,60011243,Mini Adult 1 Kg,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,1,Bolsa,14085.00,0.00,14085.00,180
1,2461075S,Mini Adult 1 Kg SUELTO,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,6,Bolsa,61407.50,0.00,61407.50,181
1,60011245,Mini Adult 3 Kg,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,1,Bolsa,44150.00,0.00,44150.00,182
1,2461075SS,Mini Adult 500 Gr SUELTO,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,5,Bolsa,24685.00,0.00,24685.00,183
1,2462010,Mini Adult 8+ 1Kg,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,1,Bolsa,15364.00,0.00,15364.00,184
1,2466030,Mini Ageing 12+ 3Kg,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,1,Bolsa,37975.50,0.00,37975.50,186
1,3000010,Mini Puppy 1 Kg,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,6,Bolsa,86997.50,0.00,86997.50,188
1,3000030,Mini Puppy 3 Kg,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,1,Bolsa,41490.00,0.00,41490.00,189
1,2.11.66,Old Prince Novel Cordero y Arroz Adulto Small 3 Kg,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,8,3 Kg,148802.50,0.00,148802.50,209
1,2.11.71,Old Prince Novel Cordero y Arroz Adultos Medium & Large 15 Kg,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,2,15 Kg,143884.48,0.00,143884.48,210
1,2.11.70,Old Prince Novel Cordero y Arroz Adultos Medium & Large 3 Kg,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,2,3 Kg,33739.20,0.00,33739.20,211
1,2.11.146,Old Prince Novel Cordero y Arroz Adultos Senior 15 Kg,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,1,15 Kg,76680.00,0.00,76680.00,212
1,2.12.52S,Old Prince Premium Gato Adulto 1 Kg SUELTO,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,6,Bolsa,27720.00,0.00,27720.00,213
1,2.12.52SS,Old Prince Premium Gato Adulto 500Gr SUELTO,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,2,Bolsa,5000.00,0.00,5000.00,214
1,2.12.52,"Old Prince Premium Gato Adulto 7,5 Kg",Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,1,"7,5 Kg",32175.00,0.00,32175.00,215
1,ARP150S,PEDIGREE Adulto Razas Pequeñas Etapa 2 X 1 Kg SUELTO,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,1,Bolsa,3900.00,0.00,3900.00,234
1,ARP150SS,PEDIGREE Adulto Razas Pequeñas Etapa 2 X 500 Gr SUELTO,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,2,Bolsa,2950.00,0.00,2950.00,235
1,3841010,Poodle 1 Kg,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,5,Bolsa,74868.00,0.00,74868.00,255
1,12450068,PRO PLAN ADULT CAT 3 Kg,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,1,3 Kg,53150.00,0.00,53150.00,269
1,12453303S,PRO PLAN ADULT DOG RAZA PEQUEÑA 1 Kg SUELTO,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,7,Bolsa,54400.00,0.00,54400.00,270
1,12453303SS,PRO PLAN ADULT DOG RAZA PEQUEÑA 500 Gr SUELTO,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,2,Bolsa,7600.00,0.00,7600.00,271
1,,WHISKAS ADULTO CARNE 1 KG,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,2,,9600.00,0.00,9600.00,326
1,3840030,Yorkshire Terrier Adulto 3 Kg,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,1,Bolsa,48050.00,0.00,48050.00,331
1,25-01-16-02,AGILITY CAT DIEGEST CONFORT X 340 GRAMOS,Alimento balanceado y nutrición,Dieta veterinaria,Producto,No,,1,Lata,5250.00,0.00,5250.00,8
1,2007020,Diabetic Canine 2 Kg,Alimento balanceado y nutrición,Dieta veterinaria,Producto,No,,1,Bolsa,35236.00,0.00,35236.00,82
1,2106115,"Diabetic Feline 1,5 Kg",Alimento balanceado y nutrición,Dieta veterinaria,Producto,No,,1,Bolsa,35275.00,0.00,35275.00,83
1,3391102,DIGEST SENSITIVE Pouch x 85 Gr,Alimento balanceado y nutrición,Dieta veterinaria,Producto,No,,2,Pouch,6480.00,0.00,6480.00,84
1,12396589S,EXCELLENT URINARY CAT con Pollo y Arroz 1 Kg SUELTO,Alimento balanceado y nutrición,Dieta veterinaria,Producto,No,,3,Bolsa,30484.00,0.00,30484.00,115
1,12396589SS,EXCELLENT URINARY CAT con Pollo y Arroz 500 Gr SUELTO,Alimento balanceado y nutrición,Dieta veterinaria,Producto,No,,1,Bolsa,5100.00,0.00,5100.00,116
1,4007020,FIBRE RESPONSE FELINE 2 KG,Alimento balanceado y nutrición,Dieta veterinaria,Producto,No,,1,Bolsa,45100.00,0.00,45100.00,123
1,3396024,G-I Canine Low Fat Lata x 200 Gr,Alimento balanceado y nutrición,Dieta veterinaria,Producto,No,,2,Pouch,13140.00,0.00,13140.00,136
1,3957020,G-I Canine Puppy 2 Kg,Alimento balanceado y nutrición,Dieta veterinaria,Producto,No,,1,Bolsa,29600.00,0.00,29600.00,137
1,3911020,Gastrointestinal Canine 2 Kg,Alimento balanceado y nutrición,Dieta veterinaria,Producto,No,,2,Bolsa,65500.00,0.00,65500.00,138
1,3905020,Gastrointestinal Feline 2Kg,Alimento balanceado y nutrición,Dieta veterinaria,Producto,No,,1,Bolsa,48550.00,0.00,48550.00,139
1,3927015,"Hepatic Canine 1,5 Kg",Alimento balanceado y nutrición,Dieta veterinaria,Producto,No,,1,Bolsa,23465.00,0.00,23465.00,147
1,3952020,Hypoallergenic Canine SD 2 Kg,Alimento balanceado y nutrición,Dieta veterinaria,Producto,No,,1,Bolsa,34650.00,0.00,34650.00,150
1,3399102,Light Weight Care Pouch 85 Gr,Alimento balanceado y nutrición,Dieta veterinaria,Producto,No,,1,Pouch,3400.00,0.00,3400.00,164
1,4624030,Medium Dermacomfor 3 Kg,Alimento balanceado y nutrición,Dieta veterinaria,Producto,No,,1,Bolsa,41906.00,0.00,41906.00,173
1,4623100,Medium Weight Care 10 Kg,Alimento balanceado y nutrición,Dieta veterinaria,Producto,No,,1,Bolsa,110925.00,0.00,110925.00,175
1,4453030,Mini Weight Care Canine 3 Kg,Alimento balanceado y nutrición,Dieta veterinaria,Producto,No,,1,Bolsa,49750.00,0.00,49750.00,191
1,25-04-12-03,POUCH Sieger RECOVERY x 100 gr. EO,Alimento balanceado y nutrición,Dieta veterinaria,Producto,No,,2,Pouch,7312.50,0.00,7312.50,260
1,4111012,Relax Care Pouch x 85 Gr,Alimento balanceado y nutrición,Dieta veterinaria,Producto,No,,1,Pouch,3650.00,0.00,3650.00,276
1,3400102,Renal feline Pouch 85 Gr,Alimento balanceado y nutrición,Dieta veterinaria,Producto,No,,3,Pouch,12105.00,0.00,12105.00,277
1,3916015,"Renal Support Canine 1,5 Kg",Alimento balanceado y nutrición,Dieta veterinaria,Producto,No,,1,Bolsa,22550.00,0.00,22550.00,278
1,2073015,"Satiety Canine 1,5 Kg",Alimento balanceado y nutrición,Dieta veterinaria,Producto,No,,1,Bolsa,0.00,0.00,0.00,288
1,2126015,"Satiety Support Feline 1,5 Kg",Alimento balanceado y nutrición,Dieta veterinaria,Producto,No,,3,Bolsa,95317.50,0.00,95317.50,289
1,25-04-12-02,SIEGER RECOVERY X 340 GRAMOS,Alimento balanceado y nutrición,Dieta veterinaria,Producto,No,,4,Lata,36855.00,0.00,36855.00,293
1,03-19-01-26,"SIEGER ULTRA Osteoarticular x 1,5 kg",Alimento balanceado y nutrición,Dieta veterinaria,Producto,No,,4,Bolsa,90000.00,0.00,90000.00,294
1,1800015,"Urinary Care 1,5Kg",Alimento balanceado y nutrición,Dieta veterinaria,Producto,No,,1,Bolsa,31725.00,0.00,31725.00,314
1,2210004,Urinary S/O HD 400 Gr,Alimento balanceado y nutrición,Dieta veterinaria,Producto,No,,1,Bolsa,12700.00,0.00,12700.00,315
1,330,Bocaditos Finos 20 x 100 Gr(Carne/Pollo/Chocolate),Alimento balanceado y nutrición,Snacks y premios,Producto,No,,8,100 Gr,31200.00,0.00,31200.00,39
1,60015031,EUK TRAINING TREATS 100g,Alimento balanceado y nutrición,Snacks y premios,Producto,No,,2,Bolsa,9467.50,0.00,9467.50,108
1,12530197,Femur,Alimento balanceado y nutrición,Snacks y premios,Producto,No,,3,,7500.00,0.00,7500.00,119
1,S01002,Grilled Beef Flavored Churrasquitos Grillé 75 gr,Alimento balanceado y nutrición,Snacks y premios,Producto,No,,8,und,24800.00,0.00,24800.00,144
1,S02002,Grilled Chicken Flavored Pollo Grillé 75 gr,Alimento balanceado y nutrición,Snacks y premios,Producto,No,,10,und,28520.00,0.00,28520.00,145
1,12530198,Higado,Alimento balanceado y nutrición,Snacks y premios,Producto,No,,1,,5000.00,0.00,5000.00,149
1,S06012,Meat Stick Chicken 150 g,Alimento balanceado y nutrición,Snacks y premios,Producto,No,,3,und,16350.00,0.00,16350.00,168
1,S05012,Meat Stick Lamb 150 g,Alimento balanceado y nutrición,Snacks y premios,Producto,No,,5,und,27250.00,0.00,27250.00,169
1,,Mon ami snack chicken 50 grs,Alimento balanceado y nutrición,Snacks y premios,Producto,No,,2,,5800.00,0.00,5800.00,193
1,9501132017232,MORDISQUITO HIGADO DE POLLO 60 GRAMOS,Alimento balanceado y nutrición,Snacks y premios,Producto,No,,3,,15000.00,0.00,15000.00,194
1,,MORDISQUITO PECHUGA X 60 GAMOS,Alimento balanceado y nutrición,Snacks y premios,Producto,No,,1,,6600.00,0.00,6600.00,195
1,9501132017234,MORDISQUITOS COGOTE DE POLLO X 60 GRAMOS,Alimento balanceado y nutrición,Snacks y premios,Producto,No,,3,,13500.00,0.00,13500.00,196
1,12530196,Orejas De Cochino,Alimento balanceado y nutrición,Snacks y premios,Producto,No,,33,,53515.00,0.00,53515.00,216
1,,ROLL DE CARNE X 3 UNIDADES,Alimento balanceado y nutrición,Snacks y premios,Producto,No,,1,,5220.00,0.00,5220.00,282
2,,CIPROVET L.A. FCO. X 5 ML,Medicina veterinaria,Antibióticos y antimicrobianos,Producto,No,,1,5 ml,30100.00,0.00,30100.00,51
2,,ENROFLOXACINA LAMAR 50 MG X 120C,Medicina veterinaria,Antibióticos y antimicrobianos,Producto,No,,1,120 comp,4350.00,0.00,4350.00,92
2,,RUMICLAMOX 250 MG,Medicina veterinaria,Antibióticos y antimicrobianos,Producto,No,,10,100comp,111000.00,0.00,111000.00,287
2,,SULFATRIM X 100 COMP,Medicina veterinaria,Antibióticos y antimicrobianos,Producto,No,,3,Blister,15345.00,0.00,15345.00,301
2,,APRAX RAZA MEDIANA X 60 COMP HOSPIT,Medicina veterinaria,Antiparasitarios,Producto,No,,6,60 comp,53100.00,0.00,53100.00,19
2,,APRAX SUSPENSION X 20 ML.,Medicina veterinaria,Antiparasitarios,Producto,No,,3,20 ml,34050.00,0.00,34050.00,20
2,2272,BRAVECTO 10 A 20 Kg,Medicina veterinaria,Antiparasitarios,Producto,No,,2,Caja,112362.00,0.00,112362.00,41
2,,ECTHOL GMP GATOS H/5 KG.,Medicina veterinaria,Antiparasitarios,Producto,No,,12,und,66757.50,0.00,66757.50,85
2,,ECTHOL GMP GATOS MAS DE 5 KG.,Medicina veterinaria,Antiparasitarios,Producto,No,,10,und,62000.00,0.00,62000.00,86
2,2241,ECTHOL X 70 ML,Medicina veterinaria,Antiparasitarios,Producto,No,,1,70 ml,11800.00,0.00,11800.00,87
2,,ECTHOLANER 02 A 04 KG X 1 COMP. 270 MG,Medicina veterinaria,Antiparasitarios,Producto,No,,1,Caja,23985.00,0.00,23985.00,88
2,,ECTHOLANER 04 A 10 KG X 1 COMP. 600 MG,Medicina veterinaria,Antiparasitarios,Producto,No,,5,Caja,131130.00,0.00,131130.00,89
2,,ECTHOLANER 20 A 40 KG X 2 COMP. 1200 MG,Medicina veterinaria,Antiparasitarios,Producto,No,,1,Caja,41400.00,0.00,41400.00,90
2,,FELINE FULLSPOT DE 2 A 5 KG,Medicina veterinaria,Antiparasitarios,Producto,No,,1,und,23130.00,0.00,23130.00,117
2,,FELINE FULLSPOT MAS DE 5 KG,Medicina veterinaria,Antiparasitarios,Producto,No,,1,und,27800.00,0.00,27800.00,118
2,,FRONTLINE PLUS GATO X 1 P.,Medicina veterinaria,Antiparasitarios,Producto,No,,3,und,44080.00,0.00,44080.00,131
2,,FRONTLINE PLUS MED. X 1 P de 10 a 20 kg,Medicina veterinaria,Antiparasitarios,Producto,No,,1,und,17450.00,0.00,17450.00,132
2,12570894,FRONTLINE SPOT ON CH X 1,Medicina veterinaria,Antiparasitarios,Producto,No,,2,,17000.00,0.00,17000.00,3
2,,FRONTLINE SPOT ON GATO X 1 P.,Medicina veterinaria,Antiparasitarios,Producto,No,,3,und,27436.50,0.00,27436.50,133
2,5247,La Pipeta Osspret Gatos 1 a 4 Kg,Medicina veterinaria,Antiparasitarios,Producto,No,,1,Cja,4350.00,0.00,4350.00,162
2,4929,La Pipeta Osspret Perros 2 a 10 Kg,Medicina veterinaria,Antiparasitarios,Producto,No,,1,Cja,4500.00,0.00,4500.00,163
2,,MELTRA SPOT ON FELINOS DE 2 A 4 KG.,Medicina veterinaria,Antiparasitarios,Producto,No,,1,4 kg,10800.00,0.00,10800.00,179
2,,MOXIDEX PLUS X 15 COMP.,Medicina veterinaria,Antiparasitarios,Producto,No,,2,15 comp,19300.00,0.00,19300.00,198
2,445,NEXGARD 10 A 25 Kg,Medicina veterinaria,Antiparasitarios,Producto,No,,2,und,61700.00,0.00,61700.00,199
2,566,NEXGARD 2 A 4 Kg,Medicina veterinaria,Antiparasitarios,Producto,No,,1,und,23100.00,0.00,23100.00,200
2,544,NEXGARD 5 A 10 Kg,Medicina veterinaria,Antiparasitarios,Producto,No,,3,und,75750.00,0.00,75750.00,201
2,,NEXGARD COMBO GATO 2.6-7.5 KG L,Medicina veterinaria,Antiparasitarios,Producto,No,,3,und,84535.00,0.00,84535.00,202
2,2202,PIPETAS 2 A 4Kg POWER ULTRA,Medicina veterinaria,Antiparasitarios,Producto,No,,1,und,5115.00,0.00,5115.00,253
2,2203,PIPETAS DE 5 A 10 POWER ULTRA,Medicina veterinaria,Antiparasitarios,Producto,No,,4,und,23870.00,0.00,23870.00,254
2,,POWER COMP. GATO/PERRO 10 A 20 KG X 1C,Medicina veterinaria,Antiparasitarios,Producto,No,,2,und,30020.00,0.00,30020.00,261
2,,POWER COMP. GATO/PERRO 2.5 A 5 KG X 1C,Medicina veterinaria,Antiparasitarios,Producto,No,,1,und,12800.00,0.00,12800.00,262
2,,POWER COMP. GATO/PERRO 5 A 10 KG X 1C,Medicina veterinaria,Antiparasitarios,Producto,No,,5,und,58650.00,0.00,58650.00,263
2,2291,POWER GOLD DE 04 A 10 KG 12SEM,Medicina veterinaria,Antiparasitarios,Producto,No,,1,und,25380.00,0.00,25380.00,264
2,2298,SIMPARICA 20 MG 5 A 10 Kg,Medicina veterinaria,Antiparasitarios,Producto,No,,4,und,78995.00,0.00,78995.00,295
2,,"SPECTRA NEXGARD H07,5 KG.(S)",Medicina veterinaria,Antiparasitarios,Producto,No,,2,und,54136.50,0.00,54136.50,297
